UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Media Selangor,@Media_Selangor,2021-01-01T12:45:02.000Z,Selangor Journal | Bangkok to close schools for two weeks as number of Covid-19 cases rise,,,,
ð“¢ð“¾ð“»ð“°ð“ªð“»ð“¸ð“¾ð“½ð“®,@SurgaRoute,2021-01-01T12:44:02.000Z,"PKPP seluruh negara dilanjutkan sehingga 31 Mac depan.

Datuk Seri Ismail Sabri Yaakob berkata, perintah itu sudah direkodkan dalam Warta Kerajaan Persekutuan.

Tindakan itu diambil hasil penilaian risiko dijalankan KKM yang mendapati peningkatan ketara kes COVID-19.",,,,
Air Times News Network,@TheAirTimes,2021-01-01T12:38:57.000Z,"PKPP di seluruh negara dilanjutkan ekoran peningkatan kes yang ketara masih berlaku di seluruh negara.
@IsmailSabri60
 @KKMPutrajaya
#AirTimes #KKM #COVID19 #PKPP",,,,
BERNAMA,@bernamadotcom,2021-01-01T12:36:24.000Z,"#COVID-19 : Three new clusters detected today, two linked to workplaces - Health 
@DGHisham
 

https://bernama.com/en/general/news.php?id=1917776â€¦",,,,1
Noor Hisham Abdullah,@DGHisham,2021-01-01T12:32:20.000Z,"Rukun Islam ada 5 perkara dan
membayar zakat adalah rukun ke 4

Alhamdulilah membayar zakat adalah tanggungjawab kita bersama dan diharapkan semoga zakat tahun 2020 dapat diagihkan kepada kesemua 8 asnaf yang terkesan dengan pandemik Covid-19. InshaAllahTerima Kasih Pembayar Zakat, Anda Hero Asnaf
Terima kasih semua pembayar zakat PPZ-MAIWP
youtube.com",,3,84,373
theSun,@theSundaily,2021-01-01T12:29:32.000Z,"Covid-19 : Three new clusters detected today, two linked to workplaces - Health DGCovid-19 : Three new clusters detected today, two linked to workplaces - Health DG
KUALA LUMPUR: The Ministry of Health (MOH) has detected three more new Covid-19 clusters in Penang, Johor, Pahang and Selangor today, and two of them ...
thesundaily.my",,,1,1
TheVibes.com,@thevibesnews,2021-01-01T12:02:01.000Z,"Covid-19 screening mandatory for temporary employment pass holders from todayCovid-19 screening mandatory for temporary employment pass holders from today
All costs shall be borne by employers in full, says the Human Resources ministry
thevibes.com",,,,
AzfarKamal,@Azpapip,2021-01-01T11:59:40.000Z,"Thank you 
@faizal_tahir
 for your kindness & appreciation to all frontliners in fighting against #Covid19 .It means a lot to everyone who has survived & keep in their faith to serve the country at all times. We are all #frontliners .Wear your mask, wash your hands & maintain SOP.",,,,5
mariam,@mariammarzuki,2021-01-01T11:54:05.000Z,"23 thousand active covid-19 cases in Malaysia. 
Out of total number of cases of 115 thousand. 
Masih teringin pergi holiday? Keluar party?",,,,
Media Selangor,@Media_Selangor,2021-01-01T11:53:02.000Z,"Selangor Journal | Singapore begins Covid-19 vaccinations, marking â€˜new chapterâ€™ in virus fightSingapore begins Covid-19 vaccinations, marking 'new chapter' in virus fight - Selangor Journal
SINGAPORE, Jan 1 â€” Singapore began vaccinating healthcare workers with Pfizer-BioNTech's Covid-19 vaccine on Wednesday (December 30, 2020), kicking off one of Asia's first inoculation programmes...
selangorjournal.my",,,,
BERNAMA Radio,@bernamaradio,2021-01-01T11:52:05.000Z,Infografik: Situasi Terkini #COVID19 (Setakat 1 Jan 2021),,,2,5
OneNews,@onenewsofficial,2021-01-01T11:51:29.000Z,"Vaksin Pfizer dan BioNTech, WHO senaraikan vaksin untuk kegunaan kecemasan 

#onenews #vaksin #covid19Vaksin Pfizer dan BioNTech, WHO senaraikan vaksin untuk kegunaan kecemasan - OneNews
Pertubuhan Kesihatan Sedunia (WHO) menyenaraikan vaksin COVID-19 keluaran Pfizer dan BioNTech untuk kegunaan kecemasan. Langkah itu dibuat bagi mempercepat akses ke negara sedang membangun. WHO...
onenews.my",,,,
