,text,hashtags_count
0,Selangor Journal | Bangkok to close schools for two weeks as number of Covid-19 cases rise,0
1,PKPP throughout the country continued until march 31 next. Datuk Seri Ismail Sabri Yaakob said the order was already recorded in the Federal Government Gazette. The action was taken as a result of risk assessments conducted by MOH which found a significant increase in the case of COVID-19.,0
2,PKPP nationwide is extended due to significant increase in cases that are still occurring throughout the country. @IsmailSabri60 @KKMPutrajaya #AirTimes #KKM #COVID19 #PKPP,4
3,"#COVID-19 : Three new clusters detected today, two linked to workplaces - Health 
@DGHisham
 

https://bernama.com/en/general/news.php?id=1917776â€¦",1
4,"Pillars of Islam have 5 things and paying zakat is the pillar of the 4th Alhamdulilah paying zakat is our common responsibility and hopefully the zakat for 2020 can be distributed to all 8 asnaf affected by the Covid-19 pandemic. InshaAllah Thanks Zakat Payer, You Hero Asnaf Thank you all PPZ-MAIWP zakat payers youtube.com",0
5,"Covid-19 screening mandatory for temporary employment pass holders from todayCovid-19 screening mandatory for temporary employment pass holders from today
All costs shall be borne by employers in full, says the Human Resources ministry
thevibes.com",0
6,"Thank you 
@faizal_tahir
 for your kindness & appreciation to all frontliners in fighting against #Covid19 .It means a lot to everyone who has survived & keep in their faith to serve the country at all times. We are all #frontliners .Wear your mask, wash your hands & maintain SOP.",2
7,23 thousand active covid-19 cases in Malaysia. Out of total number of cases of 115 thousand. Still desirable going holiday? Exit party?,0
8,"Selangor Journal | Singapore begins Covid-19 vaccinations, marking â€˜new chapterâ€™ in virus fightSingapore begins Covid-19 vaccinations, marking 'new chapter' in virus fight - Selangor Journal
SINGAPORE, Jan 1 â€” Singapore began vaccinating healthcare workers with Pfizer-BioNTech's Covid-19 vaccine on Wednesday (December 30, 2020), kicking off one of Asia's first inoculation programmes...
selangorjournal.my",0
9,Infographic: Current situation #COVID19 (As at 1 Jan 2021),1
10,"Pfizer vaccine and BioNTech, WHO list vaccines for emergency use #onenews #vaksin #covid19Vaksin Pfizer and BioNTech, WHO list vaccines for emergency use - OneNews The World Health Organization (WHO) lists the Pfizer and BioNTech products COVID-19 vaccine for emergency use. The move was made to accelerate access to developing countries. WHO... onenews.my",3
11,"Free grant of COVID-19 vaccine, government concern mark to the people #onenews #vaksin #covid19Pemberian free COVID-19 vaccine, government concern mark to the people - OneNews The government's decision to prepare the COVID-19 vaccine in order to stem the spread of the outbreak is very desirable. According to Tan Sri Lee Lam Thye, Chairman of the Safe Community Bonding Organisation, the grant... onenews.my",3
12,"@annur_hospital
 Is there possibility, in the future, to pay for COVID-19 vaccine? Will your hospital be stocking up the vaccine?",0
13,"Selangor Journal | Covid-19: 2,068 new cases today, three deaths â€” Health DG https://selangorjournal.my/2021/01/covid-19-2068-new-cases-today-three-deaths-health-dg/?utm_source=dlvr.it&utm_medium=twitterâ€¦",0
14,"Replying to @DGHishamAs Salam TS, it is pertainable to the breakdown of how many locals are to covid 19 and how many migrant workers are, and how the control of surveys from migrant workers. The root cause of the foreign workers but we are able to get to the mosque in KL",0
15,Watch the discussion on COVID-19 VACCINE: MEDICAL GUIDELINES with YBhg Datuk Dr. Norhayati Binti Rusli and Dr. Saidatul Norbaya Binti Buang directly in the #BicaraNaratif at 9.00pm this evening on TV1 | http://rtmklik.rtm.gov.my | #RTMKlik,2
16,Replying to @iSyafiqKyleSemoga-19 lost straight…Miss wants like firstÂ²,0
