text,Type
selangor journal  bangkok to close schools for two,"News, Global"
pkpp throughout the country continued until march 31 next datuk seri ismail sabri yaakob said the order was already recorded in the federal government gazette the action was taken as a result of risk assessments conducted by moh which found a signi,"News, Malaysia"
pkpp nationwide is extended due to significant increase in cases that are still occurring throughout the country ismailsabri60,"News, Malaysia"
"covid19  three new clusters detected today two linked to workplaces  health 
dghisham
 

htt",Cluster
pillars of islam have 5 things and paying zakat is the pillar of the 4th alhamdulilah paying zakat is our common responsibility and hopefully the zakat for 2020 can be distributed to all 8 asnaf affected by the covid19 pandemic inshaallah thanks zakat payer you hero asnaf thank yo,"News, Malaysia"
"covid19 screening mandatory for temporary employment pass holders from todaycovid19 screening mandatory for temporary employment pass holders from today
all costs shall be borne by employers in full says th","News, Malaysia"
"thank you 
faizaltahir
 for your kindness  appreciation to all frontliners in fighting against covid19 it means a lot to everyone who has survived  keep in their faith to serve the country at all times we are all frontliners wear y","News, Malaysia"
23 thousand active covid19 cases in malaysia out of total number of cases of 115 thousand st,"News, Malaysia"
"selangor journal  singapore begins covid19 vaccinations marking ânew chapterâ in virus fightsingapore begins covid19 vaccinations marking new chapter in virus fight  selangor journal
singapore jan 1 â singapore began vaccinating healthcare workers with pfizerbiontechs covid19 vaccine on wednesday december 30 2020 kicking off one of asias first in",Vaccine
infographic curr,"News, Malaysia"
pfizer vaccine and biontech who list vaccines for emergency use onenews vaksin covid19vaksin pfizer and biontech who list vaccines for emergency use  onenews the world health organization who lists the pfizer and biontech products covid19 vaccine for emergency use the move was made to accelerate access,Vaccine
free grant of covid19 vaccine government concern mark to the people onenews vaksin covid19pemberian free covid19 vaccine government concern mark to the people  onenews the governments decision to prepare the covid19 vaccine in order to stem the spread of the outbreak is very desirable according to tan sri lee lam thye chairman of the safe community bo,Vaccine
"annurhospital
 is there possibility in the future to pay for covid19 vaccine will yo",Vaccine
selangor journal  covid19 2068 new cases today three deaths â health dg httpsselangorjournalmy202101covid192068newcasestodaythreedeathsheal,Deaths
replying to dghishamas salam ts it is pertainable to the breakdown of how many locals are to covid 19 and how many migrant workers are and how the control of surveys from migrant workers the root cause of the foreign workers but,"News, Malaysia"
watch the discussion on covid19 vaccine medical guidelines with ybhg datuk dr norhayati binti rusli and dr saidatul norbaya binti buang directly in the bicaranaratif at 900pm this evenin,"News, Malaysia"
replying to isyafiqkylesemoga1,"News, Malaysia"
ministry of health effects 3 new clusters of covid19 health agency effects 3 new clusters of covid19  the malaysian insight health director general dr noor hisham said two of the three clusters were associated wit,"News, Malaysia"
watch the covid19 vaccine medical guidelines with the director disease control division ministry of health malaysia ybhg datuk dr norhayati binti rusli directly on bicar,"News, Malaysia"
covid19malaysia  14day movement of covid19 cases by parliament in kuala lumpur amp putrajaya 19 december 2020 to 1 january 2021 kualalumpur putrajaya janganlekadanalpa kitajagakita kitamestimenang normabaharu covid19 corona,"News, Malaysia"
"covid19 meradong in sarawak now a yellow zone with three locally transmitted cases
httpsthestarcommynewsnation20210101covid19meradonginsarawaknowayellowzonewiththreelocallytransmittedcasesâcovid19 meradong in sarawak now a yellow zone with three locally transmitted cases
kuching meradong in central sarawak is now a yellow zone after three locally transmitted covid19 cases were reported in the district on friday jan 1 says the state disa","News, Malaysia"
"daily snapshot total cases crossed the 153 million mark at 700 pm with over 13100 cases reported across the region since our last update

theaseanpost asean prayforasean prayfortheworld covid19 coronavirusoutbreak coronaviru","News, Malaysia"
"2068 new covid19 cases and 4 deaths in malaysia068 new covid19 cases and 4 deaths in malaysia
covid19 recoveries howeve","News, Malaysia"
"2068 new covid19 cases and 4 deaths in malaysia068 new covid19 cases and 4 deaths in malaysia
covid19 recoveries howeve",Cases
the latest covid19 situation as at 1 january 2021 new cases 2068 active cases 23433 cured 91171  2230 new cured cases overall cases 115078 death 474 3,"News, Malaysia"
"covid19 2068 new cases three fatalities bring death toll to 474
httpsthestarcommynewsnation20210101covid192068newcasesthreefatalitiesbringdeathtollto474âcovid19 2068 new cases three fatalities bring death toll to 474
petaling jaya malaysia recorded 2068 more covid19 infections on new years day on friday jan 1 taking the country total","News, Malaysia"
"3 new covid19 clusters in 4 states 
ahkmlog
 ahpooki
 aidamohdhanif
 ayg16
 cheongdesmond
 devilishram
 geanalyst
 imfseaaruna
 lowelsielow
 marysoh
 mikichoo
 mtusharan
 nonvitaltooth
 normsaid
 prabdullah
 skumar176
 yvonneapy
 zulmah56
 zuln093 new covid19 clusters in 4 states
they are the rawa akasia jalan perindustrian and rantau",Cluster
covid19 three new clusters detected and four existing clu,Cluster
"2068 covid19 cases 3 deaths 
ahkmlog
 ahpooki
 aidamohdhanif
 ayg16
 cheongdesmond
 devilishram
 geanalyst
 imfseaaruna
 lowelsielow
 marysoh
 mikichoo
 mtusharan
 nonvitaltooth
 normsaid
 prabdullah
 skumar176
 yvonneapy
 zulmah56
 zuln092068 covid19 cases 3 deaths
a total of 2230 p","News, Malaysia"
covid19 2068 new cases and three dea,Deaths
covid19 126 positive cases treated in icu with 54 cases requir,Cases
covid19 2230 cases cured cumulative number of cases,Cases
the latest situation on january 1 2021 covid19 in malaysia  a total of 2068 new cases made a total of 115078 cases httpsfacebookcom,Cases
latest status covid19 1 january 2021 cured case2230 total cured cases91171 cases new case positive2068 cases 2066 local 2 imports total positive115078 cases death case3 total death cases474 cases cases treated in icu126 cases respiratory help54 casesquote tweet kkmalaysia kkmputrajaya â 2h latest status covid19 1 january 2021 cured case2230 total cured cases91171 cases new case positive2068 cases 2066 local 2 imports total positive115078 cases death case3 total death cases474 cases cases treated in,"News, Malaysia"
selangor journal  covid19 stricter requirement to enter labuan beginning today httpsselangorjournalmy202101covid19stricterrequirementtoenterlabuanbeginningt,"News, Malaysia"
the decision was based on a risk assessment by moh which found covid19 cases were still occurring nationwide with high rates of infection pkpp extends from today to march 31 2021  ismail sabri national news organization of malaysia newsam economy polit,"News, Malaysia"
people who are on vacation to langkawi everyone has been vaccinated against covid19  the doctor is the sam,"News, Malaysia"
stigmatise former covid19 patients hajijidonât stigmatise former covid19 patients hajiji as a former patient himself the sabah chief minister has urged others to empathise with th,Cases
from 2020 always ready to adapt covid19 creates new norm business owners who cannot be,"News, Malaysia"
stop the stigma steering former patients  sabah chief ministe,"News, Malaysia"
replying to rahimijmldnnanti if covid19 is already subsided you can come visit yes lonely,"News, Malaysia"
not be embarrassed to reprimand those who do not wear facial blindness if we dont take care of us who else together disconnect the covid19 chain myhealthkkm pkpb kitateguhk,"News, Malaysia"
selangor journal  who emergency covid19 vaccine listing aims to lift access in poor countries httpsselangorjournalmy202101whoemergencycovid19vaccinelistingaimstoliftaccessinpoorcount,Vaccine
"stop stigma against excovid19 patients says sabah cmstop stigma against excovid19 patients says sabah cm  the malaysian insight
hajiji noor himself a former patient says they need others support t","News, Malaysia"
