UserName,Handle,Timestamp,text,Type
Media Selangor,@Media_Selangor,2021-01-01T12:45:02.000Z,Selangor Journal | Bangkok to close schools for two weeks as number of Covid-19 cases rise,Global
ð“¢ð“¾ð“»ð“°ð“ªð“»ð“¸ð“¾ð“½ð“®,@SurgaRoute,2021-01-01T12:44:02.000Z,PKPP throughout the country continued until march 31 next. Datuk Seri Ismail Sabri Yaakob said the order was already recorded in the Federal Government Gazette. The action was taken as a result of risk assessments conducted by MOH which found a significant increase in the case of COVID-19.,"News, Malaysia"
Air Times News Network,@TheAirTimes,2021-01-01T12:38:57.000Z,PKPP nationwide is extended due to significant increase in cases that are still occurring throughout the country. @IsmailSabri60 @KKMPutrajaya #AirTimes #KKM #COVID19 #PKPP,"News, Malaysia"
BERNAMA,@bernamadotcom,2021-01-01T12:36:24.000Z,"#COVID-19 : Three new clusters detected today, two linked to workplaces - Health 
@DGHisham
 

https://bernama.com/en/general/news.php?id=1917776â€¦",Cluster
Noor Hisham Abdullah,@DGHisham,2021-01-01T12:32:20.000Z,"Pillars of Islam have 5 things and paying zakat is the pillar of the 4th Alhamdulilah paying zakat is our common responsibility and hopefully the zakat for 2020 can be distributed to all 8 asnaf affected by the Covid-19 pandemic. InshaAllah Thanks Zakat Payer, You Hero Asnaf Thank you all PPZ-MAIWP zakat payers youtube.com","News, Malaysia"
theSun,@theSundaily,2021-01-01T12:29:32.000Z,"Covid-19 screening mandatory for temporary employment pass holders from todayCovid-19 screening mandatory for temporary employment pass holders from today
All costs shall be borne by employers in full, says the Human Resources ministry
thevibes.com","News, Malaysia"
TheVibes.com,@thevibesnews,2021-01-01T12:02:01.000Z,"Thank you 
@faizal_tahir
 for your kindness & appreciation to all frontliners in fighting against #Covid19 .It means a lot to everyone who has survived & keep in their faith to serve the country at all times. We are all #frontliners .Wear your mask, wash your hands & maintain SOP.","News, Malaysia"
AzfarKamal,@Azpapip,2021-01-01T11:59:40.000Z,23 thousand active covid-19 cases in Malaysia. Out of total number of cases of 115 thousand. Still desirable going holiday? Exit party?,"News, Malaysia"
mariam,@mariammarzuki,2021-01-01T11:54:05.000Z,"Selangor Journal | Singapore begins Covid-19 vaccinations, marking â€˜new chapterâ€™ in virus fightSingapore begins Covid-19 vaccinations, marking 'new chapter' in virus fight - Selangor Journal
SINGAPORE, Jan 1 â€” Singapore began vaccinating healthcare workers with Pfizer-BioNTech's Covid-19 vaccine on Wednesday (December 30, 2020), kicking off one of Asia's first inoculation programmes...
selangorjournal.my",Vaccine
Media Selangor,@Media_Selangor,2021-01-01T11:53:02.000Z,Infographic: Current situation #COVID19 (As at 1 Jan 2021),"News, Malaysia"
BERNAMA Radio,@bernamaradio,2021-01-01T11:52:05.000Z,"Pfizer vaccine and BioNTech, WHO list vaccines for emergency use #onenews #vaksin #covid19Vaksin Pfizer and BioNTech, WHO list vaccines for emergency use - OneNews The World Health Organization (WHO) lists the Pfizer and BioNTech products COVID-19 vaccine for emergency use. The move was made to accelerate access to developing countries. WHO... onenews.my",Vaccine
OneNews,@onenewsofficial,2021-01-01T11:51:29.000Z,"Free grant of COVID-19 vaccine, government concern mark to the people #onenews #vaksin #covid19Pemberian free COVID-19 vaccine, government concern mark to the people - OneNews The government's decision to prepare the COVID-19 vaccine in order to stem the spread of the outbreak is very desirable. According to Tan Sri Lee Lam Thye, Chairman of the Safe Community Bonding Organisation, the grant... onenews.my",Vaccine
OneNews,@onenewsofficial,2021-01-01T11:49:28.000Z,"@annur_hospital
 Is there possibility, in the future, to pay for COVID-19 vaccine? Will your hospital be stocking up the vaccine?",Vaccine
Nurdiyana Ali,@NurdiyanaAli,2021-01-01T11:46:45.000Z,"Selangor Journal | Covid-19: 2,068 new cases today, three deaths â€” Health DG https://selangorjournal.my/2021/01/covid-19-2068-new-cases-today-three-deaths-health-dg/?utm_source=dlvr.it&utm_medium=twitterâ€¦",Deaths
Media Selangor,@Media_Selangor,2021-01-01T11:46:32.000Z,"Replying to @DGHishamAs Salam TS, it is pertainable to the breakdown of how many locals are to covid 19 and how many migrant workers are, and how the control of surveys from migrant workers. The root cause of the foreign workers but we are able to get to the mosque in KL","News, Malaysia"
Ruzlle Ab Ghani,@Ruzlle,2021-01-01T11:44:04.000Z,Watch the discussion on COVID-19 VACCINE: MEDICAL GUIDELINES with YBhg Datuk Dr. Norhayati Binti Rusli and Dr. Saidatul Norbaya Binti Buang directly in the #BicaraNaratif at 9.00pm this evening on TV1 | http://rtmklik.rtm.gov.my | #RTMKlik,"News, Malaysia"
Saluran TV1,@tv1_rtm,2021-01-01T11:26:15.000Z,Replying to @iSyafiqKyleSemoga-19 lost straight…Miss wants like firstÂ²,"News, Malaysia"
Roszita Sarbini,@rieta876,2021-01-01T11:23:50.000Z,Ministry of Health effects 3 new clusters of Covid-19 Health Agency Effects 3 new clusters of Covid-19 | The Malaysian Insight Health Director General Dr Noor Hisham said two of the three clusters were associated with the workplace. themalaysianinsight.com,"News, Malaysia"
TheMalaysianInsight,@msianinsight,2021-01-01T11:20:03.000Z,"Watch the COVID-19 vaccine: MEDICAL GUIDELINES with the Director, Disease Control Division, Ministry of Health Malaysia, YBhg Datuk Dr. Norhayati Binti Rusli directly on #BicaraNaratif at 9.00 pm this evening on TV1.","News, Malaysia"
RTM Malaysia,@RTM_Malaysia,2021-01-01T11:15:00.000Z,#COVID19Malaysia : 14-day movement of COVID-19 cases by parliament in Kuala Lumpur &amp; Putrajaya (19 December 2020 to 1 January 2021) #KualaLumpur #Putrajaya #JanganLekaDanAlpa #KitaJagaKita #KitaMestiMenang #NormaBaharu #COVID19 #coronavirus #KLCeria #CMSWPKLKKMM and 2 others,"News, Malaysia"
Jabatan Penerangan WPKL,@JaPenWPKL,2021-01-01T11:14:15.000Z,"Covid-19: Meradong in Sarawak now a yellow zone with three locally transmitted cases
https://thestar.com.my/news/nation/2021/01/01/covid-19-meradong-in-sarawak-now-a-yellow-zone-with-three-locally-transmitted-casesâ€¦Covid-19: Meradong in Sarawak now a yellow zone with three locally transmitted cases
KUCHING: Meradong in central Sarawak is now a yellow zone after three locally transmitted Covid-19 cases were reported in the district on Friday (Jan 1), says the state disaster management committee.
thestar.com.my","News, Malaysia"
The Star,@staronline,2021-01-01T11:11:05.000Z,"DAILY SNAPSHOT: Total Cases crossed the 1.53 million mark at 7:00 pm with over 13,100 cases reported across the region since our last update.

#TheASEANPost #ASEAN #PrayForASEAN #PrayForTheWorld #COVID19 #CoronaVirusOutbreak #CoronaVirus #Corona #StayHome
 #Quarantine #Lockdown","News, Malaysia"
The ASEAN Post,@theaseanpost,2021-01-01T11:08:31.000Z,"2,068 new Covid-19 cases and 4 deaths in Malaysia,068 new Covid-19 cases and 4 deaths in Malaysia
Covid-19 recoveries, however, outpace fresh infections
thevibes.com","News, Malaysia"
TheVibes.com,@thevibesnews,2021-01-01T10:42:02.000Z,"2,068 new Covid-19 Cases and 4 deaths in Malaysia,068 new Covid-19 Cases and 4 deaths in Malaysia
Covid-19 recoveries, however, outpace fresh infections
thevibes.com",Cases
