,text,hashtags_count,users_tagged,numeric,avg_word_len,word_count
0,selangor journal  bangkok to close schools for two,0,0,0,5.25,9
1,pkpp throughout the country continued until march 31 next datuk seri ismail sabri yaakob said the order was already recorded in the federal government gazette the action was taken as a result of risk assessments conducted by moh which found a signi,0,0,1,4.928571428571429,42
2,pkpp nationwide is extended due to significant increase in cases that are still occurring throughout the country ismailsabri60,4,2,0,6.055555555555555,18
3,"covid19  three new clusters detected today two linked to workplaces  health 
dghisham
 

htt",1,1,0,5.6923076923076925,15
4,pillars of islam have 5 things and paying zakat is the pillar of the 4th alhamdulilah paying zakat is our common responsibility and hopefully the zakat for 2020 can be distributed to all 8 asnaf affected by the covid19 pandemic inshaallah thanks zakat payer you hero asnaf thank yo,0,0,3,4.755102040816326,49
5,"covid19 screening mandatory for temporary employment pass holders from todaycovid19 screening mandatory for temporary employment pass holders from today
all costs shall be borne by employers in full says th",0,0,0,5.9,29
6,"thank you 
faizaltahir
 for your kindness  appreciation to all frontliners in fighting against covid19 it means a lot to everyone who has survived  keep in their faith to serve the country at all times we are all frontliners wear y",2,1,0,4.7,42
7,23 thousand active covid19 cases in malaysia out of total number of cases of 115 thousand st,0,0,2,4.470588235294118,17
8,"selangor journal  singapore begins covid19 vaccinations marking ânew chapterâ in virus fightsingapore begins covid19 vaccinations marking new chapter in virus fight  selangor journal
singapore jan 1 â singapore began vaccinating healthcare workers with pfizerbiontechs covid19 vaccine on wednesday december 30 2020 kicking off one of asias first in",0,0,1,6.229166666666667,49
9,infographic curr,1,0,1,7.5,2
10,pfizer vaccine and biontech who list vaccines for emergency use onenews vaksin covid19vaksin pfizer and biontech who list vaccines for emergency use  onenews the world health organization who lists the pfizer and biontech products covid19 vaccine for emergency use the move was made to accelerate access,3,0,0,5.586956521739131,47
11,free grant of covid19 vaccine government concern mark to the people onenews vaksin covid19pemberian free covid19 vaccine government concern mark to the people  onenews the governments decision to prepare the covid19 vaccine in order to stem the spread of the outbreak is very desirable according to tan sri lee lam thye chairman of the safe community bo,3,0,0,5.192982456140351,58
12,"annurhospital
 is there possibility in the future to pay for covid19 vaccine will yo",0,1,0,5.0,14
13,selangor journal  covid19 2068 new cases today three deaths â health dg httpsselangorjournalmy202101covid192068newcasestodaythreedeathsheal,0,0,0,9.692307692307692,14
14,replying to dghishamas salam ts it is pertainable to the breakdown of how many locals are to covid 19 and how many migrant workers are and how the control of surveys from migrant workers the root cause of the foreign workers but,0,1,1,4.4523809523809526,42
15,watch the discussion on covid19 vaccine medical guidelines with ybhg datuk dr norhayati binti rusli and dr saidatul norbaya binti buang directly in the bicaranaratif at 900pm this evenin,2,0,0,5.448275862068965,29
16,replying to isyafiqkylesemoga1,0,1,0,9.333333333333334,3
17,ministry of health effects 3 new clusters of covid19 health agency effects 3 new clusters of covid19  the malaysian insight health director general dr noor hisham said two of the three clusters were associated wit,0,0,2,5.085714285714285,36
18,watch the covid19 vaccine medical guidelines with the director disease control division ministry of health malaysia ybhg datuk dr norhayati binti rusli directly on bicar,1,0,0,5.8,25
19,covid19malaysia  14day movement of covid19 cases by parliament in kuala lumpur amp putrajaya 19 december 2020 to 1 january 2021 kualalumpur putrajaya janganlekadanalpa kitajagakita kitamestimenang normabaharu covid19 corona,11,0,3,6.964285714285714,29
20,"covid19 meradong in sarawak now a yellow zone with three locally transmitted cases
httpsthestarcommynewsnation20210101covid19meradonginsarawaknowayellowzonewiththreelocallytransmittedcasesâcovid19 meradong in sarawak now a yellow zone with three locally transmitted cases
kuching meradong in central sarawak is now a yellow zone after three locally transmitted covid19 cases were reported in the district on friday jan 1 says the state disa",0,0,0,7.0181818181818185,53
21,"daily snapshot total cases crossed the 153 million mark at 700 pm with over 13100 cases reported across the region since our last update

theaseanpost asean prayforasean prayfortheworld covid19 coronavirusoutbreak coronaviru",11,0,0,6.225806451612903,30
22,"2068 new covid19 cases and 4 deaths in malaysia068 new covid19 cases and 4 deaths in malaysia
covid19 recoveries howeve",0,0,2,5.0,19
23,"2068 new covid19 cases and 4 deaths in malaysia068 new covid19 cases and 4 deaths in malaysia
covid19 recoveries howeve",0,0,2,5.0,19
24,the latest covid19 situation as at 1 january 2021 new cases 2068 active cases 23433 cured 91171  2230 new cured cases overall cases 115078 death 474 3,0,1,2,4.555555555555555,28
25,"covid19 2068 new cases three fatalities bring death toll to 474
httpsthestarcommynewsnation20210101covid192068newcasesthreefatalitiesbringdeathtollto474âcovid19 2068 new cases three fatalities bring death toll to 474
petaling jaya malaysia recorded 2068 more covid19 infections on new years day on friday jan 1 taking the country total",0,0,2,7.0,40
26,"3 new covid19 clusters in 4 states 
ahkmlog
 ahpooki
 aidamohdhanif
 ayg16
 cheongdesmond
 devilishram
 geanalyst
 imfseaaruna
 lowelsielow
 marysoh
 mikichoo
 mtusharan
 nonvitaltooth
 normsaid
 prabdullah
 skumar176
 yvonneapy
 zulmah56
 zuln093 new covid19 clusters in 4 states
they are the rawa akasia jalan perindustrian and rantau",0,19,3,6.7560975609756095,40
27,covid19 three new clusters detected and four existing clu,1,0,0,5.444444444444445,9
28,"2068 covid19 cases 3 deaths 
ahkmlog
 ahpooki
 aidamohdhanif
 ayg16
 cheongdesmond
 devilishram
 geanalyst
 imfseaaruna
 lowelsielow
 marysoh
 mikichoo
 mtusharan
 nonvitaltooth
 normsaid
 prabdullah
 skumar176
 yvonneapy
 zulmah56
 zuln092068 covid19 cases 3 deaths
a total of 2230 p",0,19,2,7.0606060606060606,32
29,covid19 2068 new cases and three dea,1,1,0,4.285714285714286,7
30,covid19 126 positive cases treated in icu with 54 cases requir,1,1,2,4.7272727272727275,11
31,covid19 2230 cases cured cumulative number of cases,1,1,0,5.5,8
32,the latest situation on january 1 2021 covid19 in malaysia  a total of 2068 new cases made a total of 115078 cases httpsfacebookcom,1,0,1,4.695652173913044,24
33,latest status covid19 1 january 2021 cured case2230 total cured cases91171 cases new case positive2068 cases 2066 local 2 imports total positive115078 cases death case3 total death cases474 cases cases treated in icu126 cases respiratory help54 casesquote tweet kkmalaysia kkmputrajaya â 2h latest status covid19 1 january 2021 cured case2230 total cured cases91171 cases new case positive2068 cases 2066 local 2 imports total positive115078 cases death case3 total death cases474 cases cases treated in,2,1,6,5.8108108108108105,74
34,selangor journal  covid19 stricter requirement to enter labuan beginning today httpsselangorjournalmy202101covid19stricterrequirementtoenterlabuanbeginningt,0,0,0,13.181818181818182,12
35,the decision was based on a risk assessment by moh which found covid19 cases were still occurring nationwide with high rates of infection pkpp extends from today to march 31 2021  ismail sabri national news organization of malaysia newsam economy polit,1,0,1,5.146341463414634,42
36,people who are on vacation to langkawi everyone has been vaccinated against covid19  the doctor is the sam,0,0,0,4.888888888888889,19
37,stigmatise former covid19 patients hajijidonât stigmatise former covid19 patients hajiji as a former patient himself the sabah chief minister has urged others to empathise with th,0,0,0,5.923076923076923,26
38,from 2020 always ready to adapt covid19 creates new norm business owners who cannot be,0,0,0,4.8,15
39,stop the stigma steering former patients  sabah chief ministe,0,0,0,5.777777777777778,10
40,replying to rahimijmldnnanti if covid19 is already subsided you can come visit yes lonely,0,1,0,5.428571428571429,14
41,not be embarrassed to reprimand those who do not wear facial blindness if we dont take care of us who else together disconnect the covid19 chain myhealthkkm pkpb kitateguhk,4,1,0,4.9655172413793105,29
42,selangor journal  who emergency covid19 vaccine listing aims to lift access in poor countries httpsselangorjournalmy202101whoemergencycovid19vaccinelistingaimstoliftaccessinpoorcount,0,0,0,11.133333333333333,16
43,"stop stigma against excovid19 patients says sabah cmstop stigma against excovid19 patients says sabah cm  the malaysian insight
hajiji noor himself a former patient says they need others support t",0,0,0,5.533333333333333,30
44,"doctors tending covid19 patients held one minute of silence for the passing of a deadly yearsubdued brazil new year celebrations met with silence in covid19 ward
sao paulo reuters  brazilians saw in 2021 with fireworks under unusual social distancing measures while in a hospital intensive care ward outside sao paulo doctors tend",0,0,1,5.346153846153846,52
45,new ye,0,0,1,2.5,2
46,rt myedgeprop malaysia ends 2020 with a new record of 2525 covid19 cases about half from s,3,0,1,4.352941176470588,17
47,rt myedgeprop flash malaysia posts record high new covid19 cases totalling 2525 including 1205 in sel,2,0,0,5.375,16
48,rt myedgeprop king queen pray for malaysias recovery from covid19 in 2021 newyear,3,0,1,5.3076923076923075,13
49,rt myedgeprop socso urges employers to send foreign workers immediately for covid19 sc,3,0,0,5.6923076923076925,13
50,rt myedgeprop battle against covid19 not over says noo,3,0,0,5.111111111111111,9
51,irfan positve covid19  berita harian httpsbhariancommyampsukanolahraga202101770980irfanp,0,0,0,13.666666666666666,7
